koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
CONFIRMED,11.37936986,133.84992,0.9109999999999999,2.6255,1023.5,3.95,806,99.68,37.9,5714,4.428,1.015,295.81616,51.121738,15.367
CONFIRMED,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785,89.61,88.4,5854,4.406000000000001,1.012,300.86397999999997,44.337551,12.882
CONFIRMED,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997,233.31,47.1,5779,4.3389999999999995,1.087,287.88732999999996,46.276241,12.790999999999999
FALSE POSITIVE,7.442652004,169.97177969999998,0.13699999999999998,2.3078,24446.0,15.03,967,206.78,835.6,6108,4.468999999999999,0.956,288.98682,49.733742,15.27
CONFIRMED,16.38489988,172.72782,0.001,3.0249,1127.1,2.0,433,8.35,28.9,4126,4.6610000000000005,0.615,286.73804,49.97575,15.095
CONFIRMED,36.4454001,151.60125,0.027999999999999997,4.007,1122.3,1.99,332,2.88,21.7,4126,4.6610000000000005,0.615,286.73804,49.97575,15.095
CONFIRMED,3.7287321469999997,171.79325500000002,0.5579999999999999,2.6830000000000003,5226.5,6.02,1023,258.34,345.2,5497,4.577,0.809,290.78574,50.054119,15.523
CONFIRMED,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,107.6,38.9,4149,4.698,0.564,285.17621,50.149817999999996,15.135
CONFIRMED,2.337437946,171.76198200000002,0.28,1.9982,971.2,2.34,1070,311.16,82.4,5005,4.595,0.765,293.83331,50.23035,15.334000000000001
CONFIRMED,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396,5.82,71.0,3688,4.79,0.473,296.22195,50.28722,15.937000000000001
CONFIRMED,7.275040843999999,169.994217,0.547,7.5377,3001.0,4.86,833,113.64,312.1,5485,4.556,0.867,295.45529,50.49456,15.08
CONFIRMED,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,5.66,37.1,4077,4.702,0.56,293.97336,50.531909999999996,15.385
CONFIRMED,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,13.43,30.3,4077,4.702,0.56,293.97336,50.531909999999996,15.385
CONFIRMED,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,49.68,35.8,5557,4.603,0.75,296.02133,50.56778,15.505
CONFIRMED,43.84439721,151.93538,0.852,6.8020000000000005,615.2,2.87,531,18.77,83.7,5854,4.406000000000001,1.012,300.86397999999997,44.337551,12.882
FALSE POSITIVE,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,268.67,39.0,5295,4.551,0.8109999999999999,292.31595,38.27029,15.629000000000001
CONFIRMED,60.41893689999999,181.16367,0.094,5.039,931.3,2.36,390,5.49,20.1,5354,4.587,0.7879999999999999,296.36652000000004,51.319519,15.339
CONFIRMED,12.61190435,180.89228400000002,0.55,5.1497,6105.6,7.4,753,76.15,277.2,5795,4.508,0.919,289.11221,51.737381,15.14
FALSE POSITIVE,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920,3209.29,112.6,6017,4.22,1.339,290.84369,37.728828,15.122
CONFIRMED,2.5391831469999997,169.67494,0.23800000000000002,2.4282,382.1,2.06,1332,743.09,38.9,5519,4.35,1.062,291.43997,37.905659,15.026
CONFIRMED,6.770300385,170.57662,0.838,2.0844,1304.0,2.77,812,102.87,50.8,5653,4.656000000000001,0.679,290.87051,38.273628,15.591
FALSE POSITIVE,0.44429196600000004,169.865406,1.258,2.0792,10967.0,27.51,1836,2706.26,299.7,5255,4.678,0.636,290.99689,38.28492,15.748
CONFIRMED,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361,4.0,35.2,3950,4.754,0.493,286.07912999999996,39.27832,15.954
CONFIRMED,46.1842039,165.23729,0.013000000000000001,4.758,1394.7,1.83,273,1.32,26.0,3950,4.754,0.493,286.07912999999996,39.27832,15.954
CONFIRMED,23.9800854,147.537,0.95,5.351,104.0,1.31,649,41.94,17.1,5854,4.406000000000001,1.012,300.86397999999997,44.337551,12.882
CONFIRMED,3.895936525,170.52755200000001,0.524,2.3111,8544.8,7.34,1005,241.62,370.8,5557,4.592,0.774,294.65524,39.308361,15.725
CONFIRMED,22.36646466,175.45862,0.4,5.228,986.8,2.32,536,19.45,32.1,5395,4.615,0.7340000000000001,294.71063,39.52174,15.583
CONFIRMED,1.625522174,170.8266564,0.076,2.38963,7969.0,9.73,1579,1467.41,799.7,5539,4.322,1.1059999999999999,293.87192000000005,38.422939,15.001
FALSE POSITIVE,7.544039,171.7982,1.175,6.222,322.6,17.47,838,116.46,14.2,5657,4.567,0.8240000000000001,293.94116,38.601101,15.559000000000001
FALSE POSITIVE,10.32803571,174.581054,0.281,7.7915,16918.0,13.28,843,119.31,636.8,5627,4.359,1.024,287.69675,38.886452,15.645999999999999
CONFIRMED,6.1648760000000005,135.63916,0.6459999999999999,3.262,55.8,0.79,1021,256.35,14.4,5854,4.406000000000001,1.012,300.86397999999997,44.337551,12.882
CONFIRMED,60.32494216,243.892578,0.22399999999999998,6.6188,20280.0,12.19,411,6.77,347.2,5485,4.556,0.867,285.28362999999996,38.947281,15.402999999999999
FALSE POSITIVE,1.540397253,170.50478999999999,1.225,2.1541,816.1,25.69,1470,1105.68,38.8,5663,4.53,0.915,286.92638999999997,38.921631,15.974
FALSE POSITIVE,2.99025443,171.9834,0.013999999999999999,5.414,589.2,1.7,918,168.45,48.5,4667,4.578,0.731,287.74881,38.92955,15.842
CONFIRMED,1.5947453740000002,170.6483505,0.514,1.9604,15044.0,11.3,1539,1329.42,1009.3,5934,4.4910000000000005,0.893,285.21381,39.027481,15.53
CONFIRMED,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656,43.73,71.6,3950,4.754,0.493,286.07912999999996,39.27832,15.954
FALSE POSITIVE,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326,730.47,64.9,5926,4.506,0.9390000000000001,295.37805,40.493401,15.555
CONFIRMED,18.64932728,174.771,0.08,4.4056,893.6,3.12,701,57.13,46.1,5775,4.405,1.053,290.46176,40.562462,15.386
CONFIRMED,9.75192101,138.78608,0.9490000000000001,4.793,418.0,2.76,870,135.66,28.5,5775,4.405,1.053,290.46176,40.562462,15.386
CONFIRMED,38.557654600000006,163.85063,0.9109999999999999,5.794,993.0,4.02,550,21.71,39.7,5775,4.405,1.053,290.46176,40.562462,15.386
CONFIRMED,3.5256325389999996,170.04799509999998,0.12,2.59959,22335.0,11.58,975,213.12,1996.7,5150,4.572,0.7929999999999999,290.58173,40.5774,15.224
CONFIRMED,7.748094238999999,174.997206,0.517,3.5957,2472.1,5.52,964,204.39,113.2,5973,4.439,1.085,294.4899,39.771439,15.67
CONFIRMED,8.11437482,176.33968000000002,0.573,2.2736,1558.0,2.1,460,10.55,56.4,3692,4.753,0.517,288.81201,40.033401,15.877
FALSE POSITIVE,38.03672948,196.934947,0.501,4.34617,82872.0,27.5,500,14.81,1300.0,5575,4.521,0.932,294.14789,40.055538,15.472000000000001
FALSE POSITIVE,4.64090031,173.64638,1.28,35.512,2450.6,30.09,1155,421.08,296.9,6463,4.5,0.826,295.11371,40.071171,15.27
CONFIRMED,14.74914825,138.77799,0.17300000000000001,6.0995,430.2,2.89,874,137.91,107.4,5847,4.191,1.402,297.02826,48.208611,12.487
CONFIRMED,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639,39.33,37.8,5601,4.41,0.9990000000000001,294.77686,40.15374,15.54
CONFIRMED,15.37562369,173.61401999999998,0.6920000000000001,3.3169,15337.0,11.01,600,30.54,166.0,4986,4.496,0.833,283.25354,40.358189,16.422
CONFIRMED,8.10363271,176.9486,0.047,3.161,887.9,2.11,687,52.82,39.3,4861,4.574,0.732,283.22141,40.421828999999995,15.289000000000001
CONFIRMED,4.71510843,134.96178,0.258,2.506,417.5,1.46,823,108.84,21.3,4861,4.574,0.732,283.22141,40.421828999999995,15.289000000000001
CONFIRMED,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914,165.33,70.8,5776,4.553999999999999,0.8490000000000001,291.14951,40.420521,15.09
CONFIRMED,3.04033046,169.94901059999998,0.736,1.8411,10859.0,8.99,1021,257.29,568.2,5035,4.519,0.7909999999999999,299.3161,40.822379999999995,15.027999999999999
CONFIRMED,31.33046135,153.43031000000002,0.7979999999999999,5.176,5073.8,6.5,481,12.61,117.2,5251,4.581,0.8170000000000001,292.23676,41.085879999999996,15.855
FALSE POSITIVE,9.286358079,171.8214689,0.377,3.49949,44791.0,17.61,796,95.03,1671.1,5670,4.523,0.821,294.74396,40.53392,15.365
CONFIRMED,13.23352214,140.32196000000002,0.013999999999999999,6.7372,504.6,3.06,888,146.67,49.1,5739,4.191,1.3840000000000001,287.89713,40.637821,15.084000000000001
CONFIRMED,6.15560285,134.81656,0.235,4.9843,285.0,2.32,1146,406.94,35.1,5739,4.191,1.3840000000000001,287.89713,40.637821,15.084000000000001
CONFIRMED,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642,1718.04,19.9,5739,4.191,1.3840000000000001,287.89713,40.637821,15.084000000000001
CONFIRMED,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458,1066.86,50.4,5847,4.191,1.402,297.02826,48.208611,12.487
CONFIRMED,56.22792710000001,132.29259,0.7,3.57,862.7,2.37,366,4.22,20.9,4959,4.603,0.7559999999999999,294.20215,40.66341,15.208
FALSE POSITIVE,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010,244.87,50.5,4794,4.58,0.701,299.64285,40.691238,15.835999999999999
CONFIRMED,7.953547,174.66224,0.3,2.6312,875.4,2.25,696,55.37,38.4,4768,4.5360000000000005,0.779,291.15878,40.750271000000005,15.66
CONFIRMED,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864,132.08,22.8,4768,4.5360000000000005,0.779,291.15878,40.750271000000005,15.66
FALSE POSITIVE,4.859386384,173.011469,1.2590000000000001,2.2757,6044.3,38.33,1114,364.23,269.7,6072,4.47,0.988,292.21436,40.759762,15.311
CONFIRMED,4.583520948,169.973972,0.045,2.7055,3812.1,5.39,1038,274.98,99.5,5815,4.54,0.877,299.18686,41.74268,15.287
CONFIRMED,8.20396958,169.69138,0.823,2.9667,1024.4,3.01,742,71.5,54.4,5015,4.499,0.826,286.5657,41.808399,15.376
CONFIRMED,14.49645186,143.41658999999999,0.97,4.016,647.5,3.01,613,33.48,25.7,5015,4.499,0.826,286.5657,41.808399,15.376
CONFIRMED,12.71809866,175.35526000000002,0.42700000000000005,3.0957,1149.4,2.31,562,23.6,52.7,4702,4.592,0.6859999999999999,292.91312,41.060921,15.389000000000001
CONFIRMED,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397,5.88,51.7,4702,4.592,0.6859999999999999,292.91312,41.060921,15.389000000000001
CONFIRMED,4.190425659,171.44122,0.45799999999999996,2.8589,2877.4,6.21,1234,547.9,240.6,6073,4.3919999999999995,1.135,293.49661000000003,41.137589,15.27
CONFIRMED,3.7098707839999996,171.98798200000002,0.023,3.0694,2020.3,4.35,1151,415.1,116.1,5727,4.463,0.978,283.86441,41.346458,15.581
