koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1,3.728732147,171.79325500000004,0.5579999999999999,2.6830000000000003,5226.5,6.02,1023,258.34,345.2,5497,4.577,0.809,290.78574,50.054119,15.523
1,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,107.6,38.9,4149,4.698,0.564,285.17621,50.149818,15.135
1,2.337437946,171.76198200000005,0.28,1.9982,971.2,2.34,1070,311.16,82.4,5005,4.595,0.765,293.83331,50.23035,15.334
1,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396,5.82,71.0,3688,4.79,0.473,296.22195,50.28722,15.937
1,7.2750408439999985,169.994217,0.547,7.5377,3001.0,4.86,833,113.64,312.1,5485,4.556,0.867,295.45529,50.49456,15.08
1,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,5.66,37.1,4077,4.702,0.56,293.97336,50.53191,15.385
1,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,13.43,30.3,4077,4.702,0.56,293.97336,50.53191,15.385
1,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,49.68,35.8,5557,4.603,0.75,296.02133,50.56778,15.505
1,43.84439721,151.93538,0.852,6.8020000000000005,615.2,2.87,531,18.77,83.7,5854,4.4060000000000015,1.012,300.86398,44.337551,12.882
0,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,268.67,39.0,5295,4.551,0.8109999999999999,292.31595,38.27029,15.629
1,60.41893689999999,181.16367,0.094,5.039,931.3,2.36,390,5.49,20.1,5354,4.587,0.7879999999999999,296.3665200000001,51.319519,15.339
1,12.61190435,180.892284,0.55,5.1497,6105.6,7.4,753,76.15,277.2,5795,4.508,0.919,289.11221,51.737381,15.14
0,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920,3209.29,112.6,6017,4.22,1.339,290.84369,37.728828,15.122
1,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332,743.09,38.9,5519,4.35,1.062,291.43997,37.905659,15.026
1,6.770300385,170.57662,0.838,2.0844,1304.0,2.77,812,102.87,50.8,5653,4.6560000000000015,0.679,290.87051,38.273628,15.591
0,0.444291966,169.865406,1.258,2.0792,10967.0,27.51,1836,2706.26,299.7,5255,4.678,0.636,290.99689,38.28492,15.748
1,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361,4.0,35.2,3950,4.754,0.493,286.07913,39.27832,15.954
1,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273,1.32,26.0,3950,4.754,0.493,286.07913,39.27832,15.954
1,23.9800854,147.537,0.95,5.351,104.0,1.31,649,41.94,17.1,5854,4.4060000000000015,1.012,300.86398,44.337551,12.882
1,3.895936525,170.527552,0.524,2.3111,8544.8,7.34,1005,241.62,370.8,5557,4.592,0.774,294.65524,39.308361,15.725
1,22.36646466,175.45862,0.4,5.228,986.8,2.32,536,19.45,32.1,5395,4.615,0.7340000000000001,294.71063,39.52174,15.583
1,1.625522174,170.8266564,0.076,2.38963,7969.0,9.73,1579,1467.41,799.7,5539,4.322,1.106,293.8719200000001,38.422939,15.001
0,7.544039,171.7982,1.175,6.222,322.6,17.47,838,116.46,14.2,5657,4.567,0.8240000000000001,293.94116,38.601101,15.559
0,10.32803571,174.581054,0.281,7.7915,16918.0,13.28,843,119.31,636.8,5627,4.359,1.024,287.69675,38.886452,15.646
1,6.1648760000000005,135.63916,0.6459999999999999,3.262,55.8,0.79,1021,256.35,14.4,5854,4.4060000000000015,1.012,300.86398,44.337551,12.882
1,60.32494216,243.892578,0.224,6.6188,20280.0,12.19,411,6.77,347.2,5485,4.556,0.867,285.28363,38.947281,15.403
0,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470,1105.68,38.8,5663,4.53,0.915,286.92639,38.921631,15.974
0,2.99025443,171.9834,0.014,5.414,589.2,1.7,918,168.45,48.5,4667,4.578,0.731,287.74881,38.92955,15.842
1,1.5947453740000002,170.6483505,0.514,1.9604,15044.0,11.3,1539,1329.42,1009.3,5934,4.4910000000000005,0.893,285.21381,39.027481,15.53
1,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656,43.73,71.6,3950,4.754,0.493,286.07913,39.27832,15.954
0,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326,730.47,64.9,5926,4.506,0.939,295.37805,40.493401,15.555
1,18.64932728,174.771,0.08,4.4056,893.6,3.12,701,57.13,46.1,5775,4.405,1.053,290.46176,40.562462,15.386
1,9.75192101,138.78608,0.949,4.793,418.0,2.76,870,135.66,28.5,5775,4.405,1.053,290.46176,40.562462,15.386
1,38.557654600000006,163.85063,0.911,5.794,993.0,4.02,550,21.71,39.7,5775,4.405,1.053,290.46176,40.562462,15.386
1,3.525632539,170.04799509999995,0.12,2.59959,22335.0,11.58,975,213.12,1996.7,5150,4.572,0.7929999999999999,290.58173,40.5774,15.224
1,7.7480942389999985,174.997206,0.517,3.5957,2472.1,5.52,964,204.39,113.2,5973,4.439,1.085,294.4899,39.771439,15.67
1,8.11437482,176.33968000000004,0.573,2.2736,1558.0,2.1,460,10.55,56.4,3692,4.753,0.517,288.81201,40.033401,15.877
0,38.03672948,196.934947,0.501,4.34617,82872.0,27.5,500,14.81,1300.0,5575,4.521,0.932,294.14789,40.055538,15.472
0,4.64090031,173.64638,1.28,35.512,2450.6,30.09,1155,421.08,296.9,6463,4.5,0.826,295.11371,40.071171,15.27
1,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874,137.91,107.4,5847,4.191,1.402,297.02826,48.208611,12.487
1,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639,39.33,37.8,5601,4.41,0.999,294.77686,40.15374,15.54
1,15.37562369,173.61401999999995,0.6920000000000001,3.3169,15337.0,11.01,600,30.54,166.0,4986,4.496,0.833,283.25354,40.358189,16.422
1,8.10363271,176.9486,0.047,3.161,887.9,2.11,687,52.82,39.3,4861,4.574,0.732,283.22141,40.421829,15.289
1,4.71510843,134.96178,0.258,2.506,417.5,1.46,823,108.84,21.3,4861,4.574,0.732,283.22141,40.421829,15.289
1,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914,165.33,70.8,5776,4.5539999999999985,0.8490000000000001,291.14951,40.420521,15.09
1,3.04033046,169.94901059999995,0.736,1.8411,10859.0,8.99,1021,257.29,568.2,5035,4.519,0.7909999999999999,299.3161,40.82238,15.028
1,31.33046135,153.43031000000005,0.7979999999999999,5.176,5073.8,6.5,481,12.61,117.2,5251,4.581,0.8170000000000001,292.23676,41.08588,15.855
0,9.286358079,171.8214689,0.377,3.49949,44791.0,17.61,796,95.03,1671.1,5670,4.523,0.821,294.74396,40.53392,15.365
1,13.23352214,140.32196000000002,0.014,6.7372,504.6,3.06,888,146.67,49.1,5739,4.191,1.384,287.89713,40.637821,15.084
1,6.15560285,134.81656,0.235,4.9843,285.0,2.32,1146,406.94,35.1,5739,4.191,1.384,287.89713,40.637821,15.084
1,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642,1718.04,19.9,5739,4.191,1.384,287.89713,40.637821,15.084
1,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458,1066.86,50.4,5847,4.191,1.402,297.02826,48.208611,12.487
1,56.22792710000001,132.29259,0.7,3.57,862.7,2.37,366,4.22,20.9,4959,4.603,0.7559999999999999,294.20215,40.66341,15.208
0,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010,244.87,50.5,4794,4.58,0.701,299.64285,40.691238,15.836
1,7.953547,174.66224,0.3,2.6312,875.4,2.25,696,55.37,38.4,4768,4.5360000000000005,0.779,291.15878,40.75027100000001,15.66
1,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864,132.08,22.8,4768,4.5360000000000005,0.779,291.15878,40.75027100000001,15.66
0,4.859386384,173.011469,1.259,2.2757,6044.3,38.33,1114,364.23,269.7,6072,4.47,0.988,292.21436,40.759762,15.311
1,4.583520948,169.973972,0.045,2.7055,3812.1,5.39,1038,274.98,99.5,5815,4.54,0.877,299.18686,41.74268,15.287
1,8.20396958,169.69138,0.823,2.9667,1024.4,3.01,742,71.5,54.4,5015,4.499,0.826,286.5657,41.808399,15.376
1,14.49645186,143.41659,0.97,4.016,647.5,3.01,613,33.48,25.7,5015,4.499,0.826,286.5657,41.808399,15.376
1,12.71809866,175.35526000000004,0.4270000000000001,3.0957,1149.4,2.31,562,23.6,52.7,4702,4.592,0.6859999999999999,292.91312,41.060921,15.389
1,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397,5.88,51.7,4702,4.592,0.6859999999999999,292.91312,41.060921,15.389
1,4.190425659,171.44122,0.458,2.8589,2877.4,6.21,1234,547.9,240.6,6073,4.392,1.135,293.4966100000001,41.137589,15.27
1,3.709870784,171.98798200000004,0.023,3.0694,2020.3,4.35,1151,415.1,116.1,5727,4.463,0.978,283.86441,41.346458,15.581
1,16.3297527,177.29506,0.7909999999999999,6.271,1187.5,3.75,727,66.08,74.6,5878,4.444,0.987,288.51001,41.301769,15.447
1,27.80756622,186.713552,0.782,4.21587,25391.0,13.84,554,22.24,748.1,5862,4.584,0.785,296.88821,41.396091,15.482
1,80.87234690000003,203.895,0.527,11.195,3604.6,7.59,452,9.88,160.9,5510,4.222,1.238,287.1543,41.565788,15.201
1,24.99324319,138.68167,0.6859999999999999,5.9409,269.6,2.29,712,60.88,62.0,5718,4.181,1.317,287.36279,38.649601,12.377
1,10.35533116,170.93729,0.029,3.1775,750.6,2.47,777,86.22,49.2,5501,4.462,0.918,288.9942,41.633282,15.018
1,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613,33.43,62.6,5239,4.523,0.826,292.10519,42.380322,15.219
1,36.27612379999999,201.2869,0.035,4.7865,1572.6,3.03,445,9.29,45.5,5103,4.562,0.787,291.63898,42.436321,15.599
1,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568,24.6,22.6,5103,4.562,0.787,291.63898,42.436321,15.599
1,56.0560754,201.16578,0.018000000000000002,4.685,1626.0,1.94,233,0.69,27.4,3593,4.757,0.491,289.50848,41.812119,15.849
1,41.40831669,195.78745,0.377,5.0264,22839.0,11.38,453,9.93,907.8,5522,4.586,0.747,291.7604100000001,41.944069,15.196
1,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669,47.4,355.7,5626,3.907,2.057,294.55917,46.062328,12.654000000000002
0,13.61014819,173.987319,1.081,2.594,5732.9,19.02,733,68.29,184.1,5697,4.46,0.903,289.8977700000001,42.009151,15.06
0,10.44331991,175.4046,0.23,2.7430000000000003,1159.8,2.66,667,46.94,51.7,4947,4.516,0.802,286.24356,42.148811,15.546
1,2.237489571,170.81914,0.128,1.8119,315.8,1.41,1160,427.17,30.7,5265,4.58,0.81,290.0075700000001,42.116459000000006,15.001
0,5.851520671,173.8228336,0.211,3.11058,33004.0,14.62,901,155.89,1630.4,5532,4.53,0.8059999999999999,284.08731,42.233231,15.33
1,3.167893418,172.147959,0.026,2.1814,781.2,2.62,1221,526.23,64.8,5895,4.503,0.94,293.8164700000001,42.212502,15.533
1,4.311780262,173.576483,0.196,2.7251,1154.0,3.11,1038,274.84,86.1,5527,4.484,0.927,287.24268,42.301369,15.604
1,20.0504494,188.08821,0.383,4.556,840.9,2.69,622,35.44,37.8,5527,4.484,0.927,287.24268,42.301369,15.604
1,9.76734503,186.57718,0.9,1.6585,569.1,2.67,791,92.46,21.1,5527,4.484,0.927,287.24268,42.301369,15.604
0,2.861159894,171.648106,0.965,1.8832,1014.3,4.37,1355,797.1,58.3,6126,4.458,1.021,291.67172,42.34310900000001,15.618
1,26.44439337,194.12074,0.03,3.9783,1843.5,3.91,562,23.54,88.0,5427,4.463,0.929,292.87338,42.966141,15.158
1,51.53997972,174.055011,0.183,6.3994,3644.3,5.51,450,9.67,155.5,5427,4.463,0.929,292.87338,42.966141,15.158
1,5.9022457820000005,136.78393,0.209,2.9003,702.3,2.43,926,173.74,59.3,5427,4.463,0.929,292.87338,42.966141,15.158
1,2.382951591,135.080841,0.479,1.8876,391.6,1.86,1253,583.01,41.4,5427,4.463,0.929,292.87338,42.966141,15.158
1,21.02250608,207.67593,0.036000000000000004,4.1072,1772.5,3.07,521,17.48,62.4,5067,4.585,0.75,294.90973,42.935261,15.859000000000002
1,3.219814777,133.00406,0.06,2.0642,488.2,1.69,998,234.93,30.5,5103,4.562,0.787,291.63898,42.436321,15.599
0,12.94066866,179.423014,0.897,2.4845,42450.0,22.94,723,64.64,307.5,5875,4.572,0.809,291.11969,42.507069,15.215
1,33.60123371,186.680343,0.67,4.4056,7425.9,8.46,495,14.22,247.9,5149,4.447,0.93,289.26874,42.604172,15.262
1,4.601811819,169.98108,0.5670000000000001,2.2607,755.9,2.35,896,152.91,60.8,4986,4.496,0.833,296.48343,42.663429,15.024
1,11.18719905,137.17813999999998,0.387,3.252,353.6,1.55,667,46.65,21.9,4986,4.496,0.833,296.48343,42.663429,15.024
1,5.95489993,170.955871,0.327,2.3892,1410.7,2.33,635,38.52,87.2,4261,4.641,0.633,293.63696,42.82497,15.019
1,12.03987488,181.22536,0.28600000000000003,2.7363,1250.6,2.18,502,15.06,57.6,4261,4.641,0.633,293.63696,42.82497,15.019
1,20.83762895,132.08488,0.706,2.3734,439.0,1.42,418,7.24,14.9,4261,4.641,0.633,293.63696,42.82497,15.019
0,8.8111022,136.4568,1.223,5.0683,401.1,63.66,1399,904.92,76.8,6200,3.8,2.404,294.46088,38.383461,12.759
1,23.58917143,173.81994,0.926,5.073,1200.7,3.16,487,13.34,53.3,4919,4.566,0.721,297.4600200000001,42.83992,15.316
1,6.481633072999999,122.977657,0.833,3.784,298.5,2.54,1145,406.25,125.6,5945,4.213,1.3019999999999998,290.39273,40.28487,12.365
1,10.37168928,172.61729,0.537,3.035,1254.9,3.2,720,63.68,64.5,5121,4.457,0.888,290.3932200000001,43.363899,15.193
1,226.8904775,207.35971,0.731,7.558,3136.4,4.53,236,0.73,46.8,5067,4.585,0.75,294.90973,42.935261,15.859000000000002
0,1.956811408,170.694208,1.091,2.1958,24905.0,21.58,1109,357.16,125.4,5209,4.657,0.603,295.8353600000001,42.943062,15.533
1,9.439459486,177.186096,0.049,2.8979,3036.1,4.16,686,52.32,175.2,5097,4.597,0.779,288.64252,43.039291,15.067
1,11.52306746,131.969055,0.0,3.8757,507.3,3.13,927,174.81,142.0,5644,4.162,1.411,284.48245,44.398041,12.345999999999998
1,20.47748843,178.66786000000005,0.4970000000000001,2.8364,1382.4,2.92,530,18.65,52.7,5097,4.597,0.779,288.64252,43.039291,15.067
1,3.336123113,135.31623000000002,0.252,1.9616,516.3,1.74,970,209.79,41.6,5097,4.597,0.779,288.64252,43.039291,15.067
1,8.01078456,170.20739,0.192,2.312,1333.6,1.72,453,9.9,48.5,3713,4.779,0.47,294.77393,43.056301,15.847
1,12.07134205,143.45948,0.014,4.3224,759.2,1.29,395,5.74,31.0,3713,4.779,0.47,294.77393,43.056301,15.847
1,20.99587872,152.31554,0.228,2.6333,767.3,1.3,328,2.74,18.2,3713,4.779,0.47,294.77393,43.056301,15.847
0,1.000747038,169.974229,0.908,0.9967,1823.5,4.14,1620,1635.2,147.4,5472,4.499,0.79,297.97513,43.164909,15.419
1,8.884922995,169.99168600000004,0.069,2.07004,16053.0,10.51,770,83.21,388.2,5332,4.5,0.843,291.1376,36.577381,15.264
1,8.09888906,176.623731,0.018000000000000002,4.20241,6911.1,8.95,986,223.19,435.9,6214,4.442,1.0759999999999998,282.69952,43.272739,15.261
1,10.00653012,176.96898000000004,0.862,5.3439999999999985,936.1,3.52,876,139.21,71.9,6063,4.47,1.001,283.6307700000001,43.379398,15.063
1,17.85522168,146.596466,0.075,7.41287,9065.2,13.16,911,163.04,915.7,6823,4.308,1.367,297.45374,41.01099,11.353
1,5.007316661,173.433997,0.344,4.2362,6932.3,6.96,998,234.28,431.4,5865,4.563,0.8270000000000001,295.53613,43.884449,15.813
1,2.211116989,170.150139,0.69,1.6485,724.2,1.85,931,177.19,42.6,4500,4.6560000000000015,0.6459999999999999,285.16833,44.026459,15.791
1,27.9541337,178.73791,0.063,3.95,942.5,1.9,400,6.04,25.4,4500,4.6560000000000015,0.6459999999999999,285.16833,44.026459,15.791
1,12.69104387,137.12594,0.008,3.7727,252.1,2.57,1008,244.3,60.2,5869,4.024,1.626,292.92914,48.60281,12.935
0,4.409409243,171.89433,0.028,3.8636,12861.0,10.95,1101,347.06,85.8,5600,4.368,0.975,296.41019,43.455391,15.403
1,16.23947096,175.569907,0.043,4.0374,2590.7,4.14,598,30.14,123.8,5191,4.564,0.8370000000000001,293.0614,43.58136,15.258
1,2.052349884,169.890622,0.4370000000000001,2.0778,14281.0,13.12,1497,1183.18,1072.1,5855,4.393,1.08,299.56189,43.503559,15.257
1,9.770448599999998,175.71372,0.09,2.4517,1897.8,2.23,460,10.59,58.0,3906,4.73,0.509,282.23251,43.66563,15.777
1,5.169804269,172.63153,0.35100000000000003,2.153,1037.4,1.66,569,24.75,41.4,3906,4.73,0.509,282.23251,43.66563,15.777
1,21.22261195,137.57403,0.02,6.5093,366.0,2.48,771,83.56,114.9,5945,4.213,1.3019999999999998,290.39273,40.28487,12.365
1,20.09017037,147.97788,0.8859999999999999,4.154,1432.1,2.25,362,4.05,36.9,3906,4.73,0.509,282.23251,43.66563,15.777
1,7.11373257,174.32351,0.334,2.1764,807.6,1.16,429,8.01,44.4,3561,4.855,0.411,296.98505,43.65852,15.234000000000002
1,3.306551643,134.37211000000002,0.001,1.8177,509.2,0.91,554,22.19,37.8,3561,4.855,0.411,296.98505,43.65852,15.234000000000002
1,15.36845737,147.38965,0.115,2.4714,756.1,1.11,332,2.86,30.9,3561,4.855,0.411,296.98505,43.65852,15.234000000000002
1,4.093578461,171.00954,0.93,2.5833,538.6,2.85,1182,461.07,36.4,6077,4.471,0.999,290.26328,44.55645,15.399
1,105.145959,178.36700000000005,0.964,8.593,685.4,3.43,401,6.09,15.4,6077,4.471,0.999,290.26328,44.55645,15.399
1,10.8484518,171.80584,0.21,2.9993,1675.6,2.34,499,14.66,64.5,4201,4.682,0.591,295.57935,44.545959,15.058
1,4.082274889,169.63756519999995,0.093,3.23015,17859.0,10.55,1016,251.48,1669.1,5655,4.581,0.794,284.83047,44.658138,15.198
1,42.1406089,139.0604,0.045,5.083,895.5,1.85,349,3.49,21.6,4500,4.6560000000000015,0.6459999999999999,285.16833,44.026459,15.791
1,10.19849255,137.92067,0.7140000000000001,2.4283,634.1,1.75,559,23.11,21.4,4500,4.6560000000000015,0.6459999999999999,285.16833,44.026459,15.791
0,5.795063956,172.697467,0.949,3.2496,1692.9,4.33,950,192.74,119.4,5865,4.563,0.8270000000000001,296.50754,44.036072,15.289
1,7.15681552,174.13511,0.45,2.5882,867.0,2.47,782,88.23,47.7,5029,4.494,0.838,289.59476,44.141949,15.46
1,17.64830851,133.54533,0.653,2.0873,763.3,2.43,579,26.49,23.8,5029,4.494,0.838,289.59476,44.141949,15.46
1,16.51410989,176.11686,0.395,4.1575,973.5,2.72,655,43.57,55.9,5527,4.488,0.866,296.5662200000001,44.105862,15.223
1,4.79090809,136.31106,0.11,2.603,251.3,1.36,990,227.24,21.2,5527,4.488,0.866,296.5662200000001,44.105862,15.223
1,31.71981013,142.82083,0.125,4.819,363.4,3.09,743,71.97,63.1,5869,4.024,1.626,292.92914,48.60281,12.935
1,99.6415962,198.68664,0.028,4.448,952.5,2.64,360,3.97,22.7,5527,4.488,0.866,296.5662200000001,44.105862,15.223
1,4.7083264510000005,171.446507,0.061,3.16114,7912.7,10.6,1162,431.02,633.4,5560,4.246,1.21,298.63565,44.17094,15.113
0,16.37198661,172.75926,9.303,3.8449,4147.6,540.37,438,8.71,54.5,4187,4.6560000000000015,0.5920000000000001,298.67862,44.175499,15.654000000000002
1,5.392026903,171.72707,0.314,2.9804,1151.4,2.68,850,123.33,77.4,5198,4.589,0.8009999999999999,284.43051,44.48053,15.651
1,6.491682807999999,174.633553,0.535,4.301,7163.3,9.66,1062,301.54,502.3,6123,4.413,1.107,285.5548100000001,45.578861,15.649
0,3.0447707960000003,172.01916,1.252,10.0134,1695.0,24.54,1076,317.36,203.5,5525,4.603,0.753,293.68494,45.51683,15.621
1,3.855603916,170.67878430000005,0.348,3.2179,16653.0,13.61,1212,508.65,1173.9,6033,4.46,1.046,296.39316,45.568562,15.272
0,3.855599139,170.67956999999996,0.8640000000000001,3.1830000000000003,1030.9,3.57,1158,425.74,90.1,5936,4.501,0.965,296.39542,45.56992,15.054
1,38.47876629,151.852812,0.003,5.04169,23530.0,13.26,484,13.01,1077.8,5510,4.539,0.879,288.90222,49.370491,13.779000000000002
0,37.60166128,194.713383,0.408,8.30604,59130.0,27.22,606,31.86,1667.3,6140,4.354,1.096,282.30603,44.714661,15.505
1,3.314947362,171.313058,0.799,1.8007,1398.2,3.94,1155,421.03,123.5,5609,4.481,0.944,293.45483,44.792789,15.142
0,6.71969089,173.35776,0.985,3.0231,969.7,4.37,952,194.18,45.4,5931,4.479,0.866,301.04956,44.706299,15.172
1,39.6431552,206.596798,0.062,6.5292,15664.0,10.98,472,11.74,690.3,5231,4.455,0.9,283.97751,44.811562,15.011
